name,diameter_min,diameter_max,hazardous,neo_reference_id,nasa_jpl_url
4486 Mithra (1987 SB),2.0070351411,4.4878670088,1,2004486,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004486
4503 Cleobulus (1989 WM),1.8220277059,4.0741778073,0,2004503,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004503
4544 Xanthus (1989 FB),0.8923905787,1.9954459964,0,2004544,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004544
4581 Asclepius (1989 FC),0.1890405519,0.4227075246,1,2004581,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004581
4596 (1981 QB),1.3631855586,3.0481755751,0,2004596,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004596
4660 Nereus (1982 DB),0.4726666672,1.0569147985,1,2004660,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004660
4688 (1980 WF),0.3195618867,0.7145621017,0,2004688,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004688
4769 Castalia (1989 PB),0.8680704579,1.9410645532,1,2004769,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004769
4947 Ninkasi (1988 TJ1),0.6435095206,1.4389310323,0,2004947,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004947
4953 (1990 MU),2.7832676807,6.2235757337,1,2004953,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004953
4954 Eric (1990 SQ),8.2140052596,18.3670741281,0,2004954,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004954
4957 Brucemurray (1990 XJ),2.5267075415,5.6498898221,0,2004957,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004957
5011 Ptah (6743 P-L),1.214940408,2.7166893409,1,2005011,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005011
5131 (1990 BG),2.8744514425,6.4274688236,0,2005131,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005131
5143 Heracles (1991 VL),4.0790119403,9.1209479795,0,2005143,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005143
5189 (1990 UQ),0.7187121332,1.607089186,1,2005189,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005189
5324 Lyapunov (1987 SL),2.2623249055,5.058712276,0,2005324,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005324
5370 Taranis (1986 RA),2.3908645717,5.3461357073,0,2005370,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005370
5381 Sekhmet (1991 JY),1.2038017674,2.6917825833,0,2005381,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005381
5496 (1973 NA),1.5651464359,3.4997738255,0,2005496,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005496
5587 (1990 SB),4.431543091,9.9092315966,0,2005587,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005587
5590 (1990 VA),0.2770479727,0.6194981001,0,2005590,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005590
5604 (1992 FE),0.8882904164,1.9862777548,1,2005604,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005604
5626 Melissabrucker (1991 FE),3.602093458,8.0545258335,0,2005626,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005626
5645 (1990 SP),0.9518203298,2.1283349598,0,2005645,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005645
5646 (1990 TR),2.1016237932,4.6993736648,0,2005646,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005646
5653 Camarillo (1992 WD5),1.5154966357,3.3887534971,0,2005653,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005653
5660 (1974 MA),2.2312846442,4.9893041415,0,2005660,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005660
